Transaction ID,Source,Date,Amount,Type,Description,Match Status,Matched With,Match Confidence,Discrepancy Type,Severity,Machine Reason,LLM Explanation,Suggested Action
eb6a5e23,Bank,2024-12-01,4156.79,credit,WAGES,Matched,46ac310e,0.886,,,,,
b901aa0a,Bank,2024-12-02,2552.79,credit,WAGES,Matched,bd161d5e,0.886,,,,,
7f6e62d1,Bank,2024-12-02,63.43,debit,GAS STATION,Unmatched,,,missing_in_ledger,medium,Bank transaction not found in ledger: GAS STATION,"Error generating explanation: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-*************************************************************************************************************************************zmo-. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",Bank transaction not found in ledger: GAS STATION
0f3ce8cb,Bank,2024-12-03,67.08,debit,AMZN,Matched,dfe19962,1.000,,,,,
b9e04d8e,Bank,2024-12-04,4.04,debit,Starbucks,Matched,49722d20,0.993,,,,,
9393d07b,Bank,2024-12-05,18.95,debit,NETFLIX,Matched,bad42904,0.978,,,,,
c83c5dce,Bank,2024-12-05,13.78,debit,NETFLIX,Matched,f0a48164,0.914,,,,,
751ee733,Bank,2024-12-06,22.19,debit,SERVICE CHARGE,Matched,1baa3be4,0.885,,,,,
5fe33efb,Bank,2024-12-07,32.17,debit,BANK FEE,Matched,fd2109e2,0.886,,,,,
9ebda33e,Bank,2024-12-08,26.52,debit,SPOTIFY,Matched,34d2f044,1.000,,,,,
cc56f01e,Bank,2024-12-09,68.48,debit,Amazon,Matched,b90588bf,0.943,,,,,
8c666ed1,Bank,2024-12-09,46.64,debit,BANK FEE,Unmatched,,,missing_in_ledger,medium,Bank transaction not found in ledger: BANK FEE,"Error generating explanation: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-*************************************************************************************************************************************zmo-. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",Bank transaction not found in ledger: BANK FEE
5213e239,Bank,2024-12-10,5901.42,credit,WAGES,Unmatched,,,missing_in_ledger,high,Bank transaction not found in ledger: WAGES,"Error generating explanation: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-*************************************************************************************************************************************zmo-. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",Bank transaction not found in ledger: WAGES
4dbf2e72,Bank,2024-12-10,105.59,debit,UTILITY,Unmatched,,,missing_in_ledger,medium,Bank transaction not found in ledger: UTILITY,"Error generating explanation: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-*************************************************************************************************************************************zmo-. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",Bank transaction not found in ledger: UTILITY
e5bb118b,Bank,2024-12-11,25.08,debit,SUBSCRIPTION,Matched,f8012e30,1.000,,,,,
7e0b0725,Bank,2024-12-11,1647.79,debit,VENDOR,Matched,02550d68,1.000,,,,,
2685d2e8,Bank,2024-12-11,7434.31,credit,WAGES,Matched,c5494610,1.000,,,,,
62dc7c8c,Bank,2024-12-12,1135.90,debit,WIRE TRANSFER,Matched,d617a7c1,0.850,,,,,
fc4e84ef,Bank,2024-12-12,8607.77,credit,WAGES,Matched,c8165191,1.000,,,,,
8ec173fa,Bank,2024-12-12,290.07,debit,OFFICE DEPOT,Matched,9888b103,0.943,,,,,
0de12d95,Bank,2024-12-13,2183.40,credit,PAYROLL,Matched,f57c3127,0.791,,,,,
89c88454,Bank,2024-12-13,8649.56,credit,PAYROLL,Unmatched,,,missing_in_ledger,high,Bank transaction not found in ledger: PAYROLL,"Error generating explanation: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-*************************************************************************************************************************************zmo-. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",Bank transaction not found in ledger: PAYROLL
93d9b12c,Bank,2024-12-13,27.59,debit,SPOTIFY,Matched,2fbdd87b,0.971,,,,,
2eeaac05,Bank,2024-12-13,11.79,debit,SPOTIFY,Matched,4b02d5e5,0.989,,,,,
2dec0752,Bank,2024-12-14,4103.05,credit,WAGES,Matched,4a532c0c,0.887,,,,,
788205f5,Bank,2024-12-14,6657.48,credit,PAYROLL,Unmatched,,,missing_in_ledger,high,Bank transaction not found in ledger: PAYROLL,"Error generating explanation: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-*************************************************************************************************************************************zmo-. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",Bank transaction not found in ledger: PAYROLL
e18de487,Bank,2024-12-14,1216.13,debit,WIRE TRANSFER,Matched,68382592,0.792,,,,,
1e50cddf,Bank,2024-12-16,14.21,debit,SPOTIFY,Matched,aa1a8224,0.914,,,,,
6fc28d4a,Bank,2024-12-17,143.33,debit,UTILITY,Matched,333355c4,0.987,,,,,
