Transaction ID,Source,Date,Amount,Type,Description,Match Status,Matched With,Match Confidence,Discrepancy Type,Severity,Machine Reason,LLM Explanation,Suggested Action
f8f3d8a1,Bank,2024-12-01,4156.79,credit,WAGES,Matched,d438f0b2,0.886,,,,,
2ab34a05,Bank,2024-12-02,2552.79,credit,WAGES,Matched,e23cdb76,0.886,,,,,
5eb45dae,Bank,2024-12-02,63.43,debit,GAS STATION,Unmatched,,,missing_in_ledger,medium,Bank transaction not found in ledger: GAS STATION,"Error generating explanation: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-*************************************************************************************************************************************zmo-. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",Bank transaction not found in ledger: GAS STATION
eec94652,Bank,2024-12-03,67.08,debit,AMZN,Matched,e6cd9a49,1.000,,,,,
d9eed593,Bank,2024-12-04,4.04,debit,Starbucks,Matched,39859e4d,0.993,,,,,
95add658,Bank,2024-12-05,18.95,debit,NETFLIX,Matched,491080cf,0.978,,,,,
646ef164,Bank,2024-12-05,13.78,debit,NETFLIX,Matched,ff68d1c0,0.914,,,,,
ac488db5,Bank,2024-12-06,22.19,debit,SERVICE CHARGE,Matched,e033b3e2,0.885,,,,,
431a1b17,Bank,2024-12-07,32.17,debit,BANK FEE,Matched,8c529bbf,0.886,,,,,
e2910b04,Bank,2024-12-08,26.52,debit,SPOTIFY,Matched,38d792c7,1.000,,,,,
fb077970,Bank,2024-12-09,68.48,debit,Amazon,Matched,7bdfde20,0.943,,,,,
99e6750a,Bank,2024-12-09,46.64,debit,BANK FEE,Unmatched,,,missing_in_ledger,medium,Bank transaction not found in ledger: BANK FEE,"Error generating explanation: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-*************************************************************************************************************************************zmo-. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",Bank transaction not found in ledger: BANK FEE
c8276358,Bank,2024-12-10,5901.42,credit,WAGES,Unmatched,,,missing_in_ledger,high,Bank transaction not found in ledger: WAGES,"Error generating explanation: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-*************************************************************************************************************************************zmo-. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",Bank transaction not found in ledger: WAGES
112ee77b,Bank,2024-12-10,105.59,debit,UTILITY,Unmatched,,,missing_in_ledger,medium,Bank transaction not found in ledger: UTILITY,"Error generating explanation: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-*************************************************************************************************************************************zmo-. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",Bank transaction not found in ledger: UTILITY
136de789,Bank,2024-12-11,25.08,debit,SUBSCRIPTION,Matched,4d94ae65,1.000,,,,,
2f8a8490,Bank,2024-12-11,1647.79,debit,VENDOR,Matched,77519b6f,1.000,,,,,
